CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
CUST1000,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,One year,No,Credit card,86.41,No,4325.94
CUST1001,Female,0,Yes,Yes,70,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer,29.83,No,2093.72
CUST1002,Male,1,Yes,No,47,Yes,No phone service,No,No internet service,No internet service,No,Yes,No,No internet service,One year,Yes,Electronic check,117.18,No,5502.07
CUST1003,Male,0,No,Yes,18,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card,106.84,Yes,1916.62
CUST1004,Male,0,Yes,Yes,5,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,82.63,No,421.56
CUST1005,Female,0,No,Yes,26,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No,One year,No,Electronic check,101.91,No,2640.54
CUST1006,Male,0,No,No,52,Yes,No phone service,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,108.76,Yes,5660.21
CUST1007,Male,0,Yes,Yes,47,Yes,No phone service,No,No,No internet service,No,No internet service,No,Yes,One year,Yes,Credit card,45.95,No,2150.58
CUST1008,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card,104.94,No,636.4
CUST1009,Female,0,No,Yes,58,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,39.48,Yes,2297.95
CUST1010,Male,0,No,No,68,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,One year,No,Electronic check,61.33,Yes,4166.39
CUST1011,Male,1,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,75.83,No,749.78
CUST1012,Male,1,Yes,No,14,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,One year,No,Credit card,91.39,No,1279.07
CUST1013,Male,0,Yes,No,63,No,No,DSL,Yes,No internet service,No,No,No,No,Two year,Yes,Electronic check,23.01,No,1445.6
CUST1014,Female,0,No,No,2,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No,Two year,No,Electronic check,49.05,No,96.44
CUST1015,Male,1,No,No,68,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer,80.85,No,5501.1
CUST1016,Female,0,No,No,22,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,No internet service,Two year,No,Electronic check,55.74,No,1220.48
CUST1017,Female,0,No,No,52,Yes,No,DSL,No,No internet service,No internet service,No,No,Yes,One year,Yes,Credit card,97.5,Yes,5067.14
CUST1018,Female,1,No,Yes,36,Yes,Yes,No,Yes,No internet service,No,Yes,No,Yes,Two year,Yes,Bank transfer,85.17,No,3071.77
